,State,Gun Violence Events,accidental_deaths,accidental_deaths_children,accidental_deaths_teens,accidental_injuries,accidental_injuries_children,accidental_injuries_teens,children_injured,children_killed,mass_shootings_2014,mass_shootings_2015,mass_shootings_2016,mass_shootings_all,officer_involved_shootings,teens_injured,teens_killed,Unnamed: 0,Population,income per capita,unemployment_rate(%),poverty_rate(%),no_college_education_rate(%)
27,Nebraska,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,27.0,1855617.0,27339.0,2.9523872652600187,12.489754081795974,16.488585737250734
28,Nevada,50.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,13.0,1.0,1.0,6.0,7.0,0.0,1.0,13.0,28.0,2761584.0,26515.0,6.017090191716059,15.338226177440195,17.502781012636227
29,New Hampshire,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,1321069.0,33821.0,3.6356163077023234,8.581989282921635,17.88248759148841
30,New Jersey,56.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,21.0,4.0,5.0,3.0,3.0,0.0,1.0,11.0,30.0,8874374.0,36359.0,5.105678439966582,10.532179509225099,18.76414043401822
31,New Mexico,45.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,4.0,7.0,10.0,0.0,0.0,7.0,31.0,2080085.0,23948.0,4.476067083797057,20.4855090056416,15.203369093089949
32,New York,101.0,11.0,2.0,5.0,3.0,0.0,1.0,1.0,16.0,9.0,19.0,4.0,10.0,0.0,1.0,19.0,32.0,19594330.0,32829.0,4.557910375093202,15.200933127083195,17.010931223471278
33,North Carolina,96.0,13.0,6.0,8.0,0.0,0.0,0.0,4.0,29.0,3.0,7.0,2.0,6.0,0.0,1.0,17.0,33.0,9750405.0,25608.0,5.186123037966116,17.118745323912187,15.8264502859112
34,North Dakota,8.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,704925.0,30894.0,1.7325247366741143,11.471433131184169,15.74593041812959
35,Ohio,160.0,14.0,8.0,11.0,0.0,0.0,0.0,3.0,31.0,10.0,20.0,15.0,22.0,0.0,1.0,25.0,35.0,11560380.0,26520.0,4.641482373416791,15.488798811111744,21.19692432255687
36,Oklahoma,55.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,20.0,2.0,1.0,1.0,1.0,0.0,0.0,12.0,36.0,3818851.0,24695.0,3.2681034164464653,16.379481681793813,17.954588958825575
